327.611,16.6093,0.0507,1,1,1,1
554.7788,23.9817,0.0432,257.6459,392.14,1,1
561.6412,15.6,0.0278,151.0827,356.32,1,1
566.1991,57.2387,0.1011,443.9898,87.48,2,1
592.1194,25.9289,0.0438,183.2606,354.2,1,1
683,51,0.0747,210.3054,631.1,2,1
814.5781,26.36,0.0324,373.7605,136.275,1,1
888,25,0.0282,392.7114,187.9,1,1
938,51,0.0544,238.1102,907.2,1,1
1294.4769,32.6362,0.0252,583.8506,1,2,1
1296.1,29.3515,0.0226,641.7154,6224.18,2,1
1535.7,32.1323,0.0209,344.565,885.22,1,1
1539.3515,17.8924,0.0116,1,57.515,2,1
1671.7013,25.8866,0.0155,1,125.626,2,1
1729.3287,25.9229,0.015,263.0853,318.755,2,1
1737,33.6643,0.0194,463.2608,875.5,2,1
1746.492,71.1382,0.0407,761.5113,544.789,2,1
1835.4,30.0173,0.0164,449.1746,1423.04,1,1
2130.9447,32.9133,0.0154,285.3021,1148.66,2,1
2268.9,15.6,0.0069,1,5959.84,2,1
2433.8852,20.3797,0.0084,106.4633,1004.44,1,1
2511.6,38.5393,0.0153,521.7573,1,2,1
2649.8,29.3547,0.0111,256.8483,1853.62,1,1
2742.0543,21.7555,0.0079,273.1172,2046.5,2,1
3082.1,47.4607,0.0154,420.4454,4248.92,2,1
3125.3,32.1478,0.0103,444.1244,4148.7,2,1
3186.5926,32.3787,0.0102,306.9933,3312.3,2,1
3306.3814,20.3797,0.0062,549.0697,2585.5,2,1
32,2,0.0625,223.3551,255.52,1,0
32,2,0.0625,1,475.12,1,0
32,2,0.0625,1,133.62,2,0
38.8,29.8988,0.7706,317.9804,201.52,1,0
38.8,98.1158,2.5288,1042.3913,1,1,0
42.3274,29.4847,0.6966,220.7593,36.64,1,0
48.3772,28.9521,0.5985,164.7193,1,1,0
48.3772,28.8189,0.5957,1,1,1,0
52.9547,29.8617,0.5639,348.0891,1186.08,1,0
53.7549,29.0852,0.5411,190.1923,141.72,2,0
55.3699,36.6169,0.6613,485.5019,35.015,1,0
58,16,0.2759,82.6808,1,2,0
59.8029,23.931,0.4002,498.0952,185.91,2,0
61.6043,75.4903,1.2254,287.7676,6316.5,2,0
65,22,0.3385,1,1,1,0
67,31.2,0.4657,333.5734,225.8,1,0
69.4248,38.629,0.5564,445.0187,405.22,1,0
70.323,21.4489,0.305,1,9.268,1,0
72,15.6,0.2167,349.0053,1,1,0
73,24,0.3288,672.031,74.94,1,0
77.6,13,0.1675,338.0182,448.92,1,0
77.6,13,0.1675,92.4907,87.5,1,0
82.9013,19.8288,0.2392,1,1,1,0
83.0205,21.0506,0.2536,1,29.726,2,0
84.6049,27.9377,0.3302,510.8941,548.64,1,0
85.5259,20.5859,0.2407,276.492,2709.92,2,0
86.002,23.6398,0.2749,203.9796,8.641,1,0
86.1033,29.7437,0.3454,119.2825,92.16,2,0
86.1737,20.5514,0.2385,257.7468,1,1,0
86.8238,29.3145,0.3376,1,1,2,0
87.9445,20.1756,0.2294,271.3485,1,1,0
89.8725,23.6955,0.2637,164.4496,18.043,2,0
90.6884,20.414,0.2251,90.1116,1,1,0
91,31.2,0.3429,101.3362,208.36,1,0
91.0866,21.1579,0.2323,347.8625,316.02,1,0
91.7047,19.8067,0.216,94.8545,1,1,0
93.3892,20.4826,0.2193,341.0182,37.26,1,0
96.2777,23.9549,0.2488,678.4017,582.82,1,0
98.3984,35.101,0.3567,561.6501,303.04,1,0
99.8085,20.3241,0.2036,1,1,2,0
100.1538,28.6533,0.2861,255.9005,146.26,1,0
100.8803,16.983,0.1683,1,462.84,2,0
102.0269,22.0158,0.2158,200.0428,63.238,1,0
102.6299,19.7293,0.1922,177.6193,129.5,1,0
104.3476,40.706,0.3901,443.1809,113.94,1,0
104.5539,29.1508,0.2788,635.1234,536.12,1,0
109.8132,43.6168,0.3972,1,422.04,2,0
111,15,0.1351,280.8884,1,1,0
112.59,21.5039,0.191,1,98.46,1,0
113.853,22.7281,0.1996,457.0252,147.62,1,0
115,31.2,0.2713,477.977,448.92,1,0
115.0198,32.4141,0.2818,274.0938,233.42,1,0
116.3206,276.2661,2.375,454.6128,234.3,1,0
117.6117,21.0399,0.1789,136.5797,755.9,2,0
117.9842,31.7483,0.2691,389.3515,165.3,2,0
119,24,0.2017,421.9191,693.78,1,0
119.2044,22.0643,0.1851,237.6073,151.16,1,0
120.4752,23.7947,0.1975,122.5407,334.92,1,0
126.192,31.938,0.2531,661.3776,103.32,2,0
131.7067,22.4376,0.1704,217.3492,248.08,1,0
131.7752,28.1667,0.2137,199.3427,118.18,1,0
134.8385,20.9694,0.1555,353.0709,103.06,1,0
137.6717,30.1287,0.2188,1191.4102,1373.76,1,0
139,32,0.2302,425.9372,272.38,1,0
